timestamp,​0x0f16a8557df61daCf3C6Be21a41a72D2a848B854,​0x1814222fa8c8c1C1bf380e3BBFBd9De8657Da476,​0xfC1622AA82Ddb428b376896Dbd82FA663B50143f,​0xBb72B029a3e5019B504e5a943b9CC445Ad40c07d,​0x00000000B1786c9698C160D78232c78d6f6474Fe,​0x31E085Afd48a1d6e51Cc193153d625e8f0514C7F,​0x05cDe89cCfa0adA8C88D5A23caaa79Ef129E7883,​0x048F6dfB9e674C1962d447924baFFA9C8F68761C,​0x7795Db2daDEA981c311d8a5b6e37291f2eFc9441,​0x5c5b40855fc364b797c1F539F7Eb39cDC94a8a91,​0xF1Ad4BFDF8829d55eC0Ce7900EF9d122B2610673,​0xc7f5C6b526496184dc372aaad34f60b668d656F3,​0xaD457072924e5a1A1c9807942211BA5D928CeC8A,​0xc3037b2A1a9E9268025FF6d45Fe7095436446D52,​0x01e176828454368f60898F04025DCe3BcFe76AB5,​0x9175e0e8434CB6c5cc45A64f8A80F66Ec81B47BF,​0x210671bed37D221cDE1EAaacCf6fe4F843Ce1BC4,​0xAecdA292d7a976746E1660650724fB932d4BB35E,​0x06e363172F5FaB873C7efDc1ffa6900c07231a3A,​0x40A7cb7052C274Cc2E568c324B4c5D94383bec4f,​0x6427Fc587266813B6993ae4c8DE672640cB3B43F,​0x38e29135f9e10073B327083A016057720Fc2569E,​0x514fd3B8109CFB7CDe4b17e4912fd56690c23145,​0x000000000000deab340F067535869a0e5226E58a,​0xDf8eFB8a522561EA9bD8C55874Dca4536EE5c618,​0xeaa6cB80a5593E14C5A5fd38AE3D16dcB5Ef75F5,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xF8341bf53e42DAc7b3E3516E0c6ef6003646DD6D,​0xF92C1ad75005E6436B4EE84e88cB23Ed8A290988,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0xCbD4946Af66d9451d7AcFAFEE1234F8925747ebb,​0x2AD672FDA8a042c4c78C411bF9d4f1b320aA915a,​0x97deC872013f6B5fB443861090ad931542878126,​0xCb43027cfbbCCe4d0BA7c99Ca391415df93F2886,​0x5aB9d116a53EF41063E3EaE26A7eBe736720E9bA,​0xCE0c61aBF9866FEf5767e102Cf227F294b3459E5,​0xF6FB09a41fa6C18cEbC1e7C6F75A8664D69e4d48,​0x0DC411b17d337Af85D83eA5A3577D09132Aae866,​0x3B67DcfBF5e9D63e355E7a589D15A394e9D7d1DA,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0x229779eFD1896e1A4bDC0Acf5CE1DE11C940d102,​0x284b5Cf0188Bf98E295464532767bdC1d25DA52A,​0x92f884B7dbC58655174c49C27d3F7f7aaB946fb2,​0x26E068650ae54b6c1b149e1B926634b07e137b9F,​0xC0D6D359b05C60451b02fc87be3F5d808fa89692,​0x000000000000006F6502B7F2bbaC8C30A3f67E9a,​0xA9f4E25F89E960eA33Be7f7aD5699D0077d249CC,​0xeE7F212545b3c388f8fD176f83bDff85F3Dcea7D,​0xFcd12c9D27560a122048a43315B54872bCD59603,​0x1eb3b6cf9e6f1F7CB0eEAfCea2aBD8016628e45b,​0xA0c9aB7cb590C01D9F36D0F1eb960A544c31467e,​0x8a3960472B3D63894B68DF3f10F58F11828d6fd9,​0xA54da2581dd4828e4Aa00638Aab835119500A284,​0x81EbA9C6dE7FCc54a10dfFFa25B8b5eCb698F5aB,​0x0000000000C90bc353314b6911180ED7E06019A9,​0x0000000000eBbDaF01e3dE2506CA1e4C08D3ceBa,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x15ec2bCa7dE55d125f122cB35e54b317FDcd5c89,​0x5fBDbBE91FF8362e463470747e1a9bDf4CE8613e,​0xf8A4d4e311e1cC22877943B01a363BC1c315122d,​0x3958B4eC427F8fa24eB60F42821760e88d485f7F,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x48B04d2A05B6B604d8d5223Fd1984f191DED51af,​0x019c199F89b8A374e87b70597bbCA748ac084587,​0x90D1E63Fd61BeDEE4447Ca9398d0d15cdBd4dd42,​0x5Be5b30A720093C9d1B1E6CF8441280a48a495F8,​0x577D96754E7dBDDc5aa9787C139DB2e8026cf4aa,​0xDFf2AA5689FCBc7F479d8c84aC857563798436DD,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,​0x3b7921f5b25fC8339269eb8adb28278d5C1F01c3,​0xb45119C2Df78E5EeE8298E1E2F6E1dFDa93D106E,​0x5100276Ff4561D05A502527De00e9515129e3cfE,​0x488127A7Fe3E6339b1D035c3726a1498B3c408Ea,​0xB76c291871b92A7c9e020b2511a3402A3bf0499d,​0xF173214C720f58E03e194085B1DB28B50aCDeeaD,​0x2233b56797e2B8C912d492044146FDb77238A374,​0x5A6fc2De011d93842411aa5f91a0a4AcD3fEfFde,​0x0a236B41aDd0073df05EaC5Fc8505Ad745C7859D,​0x2406A9333378E30B9581B8356bb81B4f9BDFF005,​0xEF422dBBF46120dE627fFb913C9AFaD44c735618,​0x0D4743269FeC611b422D0A209A460CD8cC0cC8b9,​0xB27732Feae161E1f42cfcd2b716BbF7f987FB984,​0x3Fb2F18065926DdB33E7571475c509541d15dA0e,​0x1425cFD4eD3d7709E93e00Af541eFDA9bAeab430,​0xce5702E94aD38C061e44a4a049Cc29261F992846,​0xB3ab42304497618b94f5C0DAC7d50401d4FC1b9f,​0xe9519677e6ec8D2D6BFaB92A059529feA6075d37,​0x5FfB004C2a93D6E46C09f75d1565350F92f65C89,​0x629cba67970e5FB83917BC53bB6944907DD1b61C,​0xf3704de41D39688514775FD65722d346c06042aD,​0x8Fa73b713032B10A8A21e4C64f40c935B397054C,​0x7376aF1BfBeA6eACf4D8D48A05cC84de3ABBB8bE,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,Other
1582904573000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,13.05,,,,,,,,,,6.73,,,,,,,,0.64,,,,,,,,,,6.96,1.75,1.00,,,,,,,,,0.80,,,,,2.48,,,42.22
1582970808000,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,6.95,,,,,,,,,,8.50,,,,,,,,3.04,,,,1.66,,,,,,2.03,6.77,,,,,,,,,,1.94,,,,,2.04,,0.08,33.09
1583036689000,,,,,,,,,,,,,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.97,,,,,,,,,,8.63,,,,,,,,,,2.99,,,,,,,,0.13,,2.00,,,,,,,,,0.40,,,,,,,,31.43
1583103301000,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97,,,,,,,,,2.00,,,,,,,,,,,11.00,,,,,,,,,,18.17,,,,,,,,1.01,,,1.50,,,,,,,1.16,,1.00,,,,,,,,,,,,,,,,0.05,18.85
1583168974000,,,1.08,,,,,,,,,,2.06,,,,,,,,,,,,,,0.31,,,,,,1.53,,,,,,,,,,,2.03,,,3.50,,,,,,,,,,11.10,,,,,,,,,,,1.69,28.20,,,,,,1.24,,1.00,,,,,,,,,0.80,,,,,1.19,,,17.09
1583235956000,,,,,,,,,,,,,5.59,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,8.14,,,,,,,,,,16.95,,,,,,,,,,1.53,,126.07,,,,,,48.76,1.95,,,,,,,,,,1.20,,7.62,,,5.72,,,91.11
1583302077000,,,,,,,,,,,,,6.71,,,,,,,,,,,,,,0.35,,,1.35,,,,,,,,,,,,,,,,,1.72,,,,,,,,,,44.96,,,,0.21,,,,,,3.31,,178.34,,,,,,4.66,27.20,,,,,,,,,,1.60,,,,,,,0.34,98.34
1583368317000,,12.28,,,1.13,,0.00,,,,,,6.22,,,,,,,,,,,,,,8.75,,,,,,4.44,,,,,,,17.61,,,,7.49,,,13.95,,,,,,,,,,117.88,,,,,,,,,,2.24,1.35,248.00,,,,,,4.96,4.56,5.00,,,,,,,,,2.80,,3.19,,,4.86,,59.89,217.92
1583435384000,,37.62,,,,,,,,,,,4.00,,,,,,,,,,,,,,2.22,,,,,,,,,1.00,,,,9.00,,,,4.00,,,,,,,,,,,,,82.82,,,,0.11,,0.55,,6.89,,2.05,,99.77,,,,,,0.21,,1.00,,,,,,,,,4.80,,,,,2.45,,68.32,45.16
1583502285000,,15.14,,,3.63,,0.14,,,,,1.62,15.16,,,,,,,,,,,,,,6.19,,,,,,0.11,,,,,,,,,,,10.02,,,22.68,,,,,,,,,,71.24,,,,,,,,,,6.57,,193.02,,,,6.09,,0.37,,7.25,,1.00,,,,,,18.35,3.20,,2.99,,,3.92,,98.82,215.29
1583567810000,,2.70,,,,,,,,,,,,,,,,,,,,,,,,,5.48,,,,,,0.00,,,,,,,10.09,,,,,,,13.25,,,,,,,,,,59.97,,,,,,0.01,,,,2.51,,91.90,,,,6.00,,11.69,,,,,,,,,,2.03,0.40,,4.53,,,7.28,,57.72,66.98
1583633541000,,2.97,,,,,0.01,,,,,,6.17,,,,,,,,,,,,,,3.65,,,,,,0.20,,,,,,,,,,,,,,8.77,,,,,,,,,,79.96,,,,,,,,1.52,,,,83.33,,,,,,0.93,,1.82,,,,,,,,11.99,1.52,,4.50,,,5.61,,89.36,67.43
1583699841000,,15.41,,,,,,,,,,,,,,,,,,,,,,,,,2.74,,,,,,0.00,,,,,,,4.32,,,,,,,,,,,,,,,,,74.30,,,,10.48,,,,,,1.00,,53.90,,,,1.73,,5.03,,1.00,,,,,,,,13.13,0.40,,,,,4.45,,48.79,43.09
1583767163000,,13.53,20.51,,,,,,,,,,5.08,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,28.70,,,,,,,6.76,,,,,,,,,,57.32,,,,,,,,,,0.18,,66.62,,,,,,2.19,,1.00,,,,,,,,10.32,1.60,,3.58,,,4.80,,37.43,81.46
1583833348000,,3.97,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,2.51,,,,,,,6.08,,,,,,,16.46,,,,,,,,,,50.08,,,,,,,,6.67,,1.01,,33.43,,,,,,,,,,,,,,,,,,,2.93,,,5.58,,53.22,35.52
1583900197000,,18.91,,,,,,,,,,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,,19.99,,,,,,,11.80,,,,,,,,,,57.59,,,,,,,,,,,,63.37,,,,,,1.01,,,,,,,,,,9.62,,,2.50,,,8.09,,55.64,30.01
1583966404000,,35.21,,,,,,,,,,,2.00,,,,,,,,,,,,,,1.10,,,,,,0.61,,,,,,,15.58,,,,,,,11.11,,,,,,,,,,34.60,,,,,,,,11.55,,,,73.56,,,,,,,2.00,7.00,,,,,,,,4.76,4.40,,3.00,,,4.87,,29.25,57.24
1584033400000,,15.86,,,11.16,,,,,,,,23.00,,,,,,,,,,,,,,7.15,,,,,,,,,,,,,32.07,,,,9.00,,,6.51,,,,14.12,,,,,,28.66,,,,12.35,,,,,,2.00,,72.64,,,,8.93,,9.09,,,,,,,,,,30.19,4.79,,,,,0.95,,70.50,152.02
1584100621000,,3.18,1.00,,16.55,,,,,,,5.00,10.00,,,,,,,,,,,,,,11.34,,,,,,0.24,,,,,,,,,,,,,,16.52,,,,26.48,,,,,,62.62,,,,32.11,,,,12.17,,2.39,,83.11,,,,,,1.21,,,,,,,,,,19.75,3.20,,2.01,,,,,44.17,161.41
1584168330000,,82.03,,,,,,,,,,4.18,4.33,,,,,,,,,,,,,,0.85,,,,,,3.84,,,,,,,3.31,,,,,,,17.00,,,,29.72,,,,,,23.83,,,,,,,,,,,,75.50,,,,,,,,,,,,,,,,43.41,0.40,,15.24,,,11.38,,76.21,129.32
1584234522000,,95.47,,,,,,,,,,4.04,12.17,,,,,,,,,,,,,,3.92,,,,,,,,,,,,,16.02,,,,5.14,,,7.09,,,,,,,,,,68.83,,,,,,,,,,,,89.00,,,,,,,,11.67,7.41,,,,,,,48.55,5.60,,4.00,,,4.00,,61.36,46.48
1584300469000,,,,,,,,,,,,16.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01,,,,22.00,,,2.00,,,,,,,,,,19.58,,,,15.08,,,,7.00,,,,50.76,,,,,,,,16.00,126.93,,,,,,,26.22,10.35,,,,,0.81,,35.86,35.06
1584367227000,,,,,,,,,,,,9.00,,,,,,,,,,,,,,,1.18,,,,,,,,,,,,,24.52,,,,,,,23.60,,,,9.89,,,,,,74.91,,,,35.66,,,,9.00,,,,52.02,,,,,,3.30,,,28.43,,,,,,,28.46,2.80,,,,,5.59,,37.25,101.43
1584434720000,,,3.00,,,,,,,,,2.00,,,,,,,,,,,,,,,6.52,,,,,,0.61,,,,,,,8.49,,,,,,,19.38,,,,40.45,,,,,,18.31,,,,8.15,,,,,,,,29.30,,,,,,,,5.00,50.77,,,,,,,27.97,3.12,,,,,4.07,,23.97,31.35
1584500082000,,,,,,,,,,,,1.19,,,,,,,,,,,,,,,0.92,,,,,,5.17,,,,,,,,,,,,,,12.09,,,,13.58,,,,,,29.10,,,,,,,,4.16,,,,23.36,,,,,,,,,21.55,,,,,,,22.36,2.40,,,,,8.76,,29.11,52.24
1584566455000,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,,,,,,0.04,,,,,,,,,,,,,,2.27,,,,,,,,,,11.56,,,,,,,,,,,,11.85,,,,3.98,,,,2.00,16.55,,,,,,,11.14,0.80,,,,,,,15.93,23.98
1584632903000,,,3.75,,9.61,,,,,,,,,,,,,,,,,,,,,4.00,6.84,,,,,,3.67,,,,,,,13.02,,,,2.00,0.11,,1.75,,,,4.19,,,,,,31.14,,,,,,,,,,6.51,,39.01,,,,,,12.91,,7.10,21.23,,,,,,,44.73,1.20,,1.41,,,4.37,,32.80,37.17
1584699859000,,,,,3.00,,,,,,,2.05,,,,,,,,,,,,,,,4.62,,,2.22,,,6.00,,,,,,,13.30,,,,,,,11.59,,,,,,,,1.02,,65.21,,,,,,,,,,6.64,,70.84,,,,,,13.35,,3.00,14.60,,,,,,,31.92,0.80,,1.50,,,6.94,,67.09,95.25
1584766483000,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,,,3.65,,,1.17,,,,,,,,,,,,,,5.19,,,,,,,,8.79,,36.01,,,,,,,,3.99,,4.02,,60.09,,,,,,17.10,,,7.15,,,,,,,25.78,,,,,,12.57,,51.52,41.73
1584833664000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80,,,1.00,,,,,,,2.80,,,,,0.83,,4.02,,,,,,,,,,25.57,,,,,,,,,,7.59,,26.89,,,,,,,,1.00,4.97,,,,,,,31.43,1.20,,,,,7.32,,22.35,25.49
1584902413000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,7.05,,,9.34,,,,,,,,,,,,,,,,,,,,,,3.50,,16.30,,,,,,,,,,3.12,,23.62,,,,,,0.25,,,,,,,,,,16.88,1.20,,,,,3.65,,6.52,5.59
1584970249000,,,,,3.00,,,,,,,,,,,,,,,,,,,,,1.00,5.42,,,7.93,,,8.17,,,,,,,,,,,,,,,,,,,,,,3.63,,9.34,,,,7.32,,,,,,3.00,,13.03,,,,1.00,,,,,,,,,,,,23.99,,,,,,1.63,,19.68,14.86
1585036977000,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,13.78,,,4.29,,,2.06,,,,,,,16.73,,,,,,,,,,,17.75,,,,5.81,,46.38,,,,3.54,,,,2.04,,3.53,,42.95,,,,,,,,1.69,8.12,,,,,,,37.10,,,,,,4.89,,44.79,15.17
1585105600000,,,,,1.50,,,,,,,,,,,,,,,,,,,,,5.90,6.30,,,6.58,,,6.44,,,,,,,9.50,,,,,,,,,,,12.78,,,,15.30,,44.20,,,,,,,,,,4.23,,50.92,,,,,,,,,7.64,,,,,,,28.64,,,,,,6.05,,55.15,24.08
1585173391000,,,,,,,,,,,,2.01,,,,,,,,,,,,,,4.00,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,24.15,,,,0.32,,,,,,2.65,,18.80,,,,,,10.71,,,2.17,,,,,,,4.77,,,,,,1.62,,2.43,10.41
1585239172000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55,,1.50,,10.12,,,,,,,,2.05,,,,2.98,,,,,,,,1.00,,0.53,,,,,,3.76,,,,,,0.41,,0.76,3.27
1585306138000,,,,,4.57,,0.08,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,7.49,,1.50,,16.41,,,,,,,,,,1.00,,18.04,,,,,,0.08,,,1.90,,,,,,,12.58,,,,,,1.62,,12.45,13.92
1585372283000,,,,,1.32,,,,,,,,,,,,,,,,,,15.56,,,,0.74,,,3.70,,,5.15,,3.13,,,,,2.01,,,,,2.32,,,,,,,,5.05,,1.00,,20.84,,,,,,,,,,1.00,,13.86,,,,,,,,2.00,1.69,3.00,,,,,,13.29,2.40,,,,,0.80,,22.20,44.76
1585438491000,,,,,1.10,,,,,,,,,,,,,,,,,,19.14,,,,8.30,,,,,,4.17,,,,,,,,,,,,,,,,,,,,3.06,,2.05,,4.41,,,,,,,,4.00,,,,11.58,,,,,,,,,13.83,2.00,,,,,,,0.40,,,,,,,12.14,11.15
1585504149000,,,,,1.53,,,,,,,,,,,,,,,,,,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,1.00,,12.96,,,,,,,,,,,,2.94,,,,,,4.05,,,,,,,,,,,0.40,,,,,,,2.48,8.32
1585571105000,,,,2.92,3.63,,,,,,,,,,,,,,,,,,25.44,,,,0.32,,,2.69,,,,,,,,,,6.42,,,,,,,,,,,,,2.12,,7.00,,59.24,,,,4.41,,,,,,3.80,,14.75,,,,,,,,,3.18,,,,,,,,1.20,,,,,,,6.75,26.66
1585637238000,,,,4.52,1.34,,,,,,,,,,,,,,,,,,30.92,,,,,,,3.21,,,,,,,,,,,,,,,,,,,,,,,6.12,,1.50,,22.46,,,,,,,,,,,,17.39,,,,,,4.83,,,2.96,,,,,,,,,,,,,1.62,,14.69,25.70
1585704243000,,,,5.94,2.05,,,,,,,2.00,,,,,,,,,,,33.02,,,,,,,,,,,,0.40,,,,,4.35,,,,,2.06,,,,,,,,2.10,,3.04,,19.53,,,,,,,,,,1.60,,12.44,,,,,,0.67,,,,,,,,,,,0.40,,,,,0.81,,4.93,34.50
1585770840000,,,,,8.52,,,,,,,,,,,,,,,,,,30.08,,,,,,,,,,,,,,,,,,,,,,2.24,,,,,,,,3.01,,6.02,,36.18,,,,,,,,,,,,18.58,,,,,,14.75,,,,,,,,,,,,,,,,3.26,,11.19,26.59
1585836257000,,,,1.53,1.21,,,,,,,,,,,,,,,,,,36.35,,,2.00,,,,,,,1.81,,3.12,,,,,2.37,,,,,4.87,,,,,,7.43,,3.28,,4.78,,24.04,,,,4.75,,,,,,,,19.39,,,,,,4.75,,,,,,,,,,,,,,,,1.62,,4.51,46.19
1585903293000,,,,8.78,1.82,,,,,,,,,,,,,,,,,,23.76,,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,1.96,,7.42,,6.04,,29.76,,,,,,,,,,3.21,,28.35,,,,,,2.81,,,,1.90,,,,,,,,,,,,2.04,,7.77,74.90
1585969610000,,,,1.80,2.75,,,,,,,2.00,,,,,,,,,,,14.89,,,,2.01,,,,,,,,,,,,,2.27,,,,,,,,,,,,,3.21,,2.25,,40.83,,,,,,,,,,1.00,,13.70,,,,,,,,,,1.64,,,,,,,,,,,,0.41,,8.77,34.49
1586036191000,,,,1.56,1.20,,,,,,,0.16,,,,,,,,,,,29.93,,,,3.24,,,,,,0.35,,3.36,,,,,3.54,,,,,9.56,,,,,,,,9.61,,,,92.83,,,,,,,,,,,,22.14,,,,,,,,6.00,,2.00,,,,,,,,,,,,0.33,,5.22,26.59
1586102872000,,,,3.04,1.56,,,,,,,,,,,,,,,,,,7.03,,,,,,,,,,,,2.66,,,,,,,,,,2.16,,,,,,,,2.85,,0.75,,59.60,,,,,,,,,,,,3.98,,,,,,0.84,,,,,,,,,,,2.35,,,,,,,1.31,10.43
1586169028000,,,,,9.01,,0.63,,,,,,,,,,,,,,,,8.75,,,,,,,,,,7.35,,2.97,,23.32,,,1.64,,,,2.00,0.34,,,,,,24.23,,9.93,,11.60,,46.05,,,,,,,,,,,,29.42,,,3.00,,,5.31,,2.00,,,,,,,,,,,,,,2.38,,15.03,35.08
1586236183000,,,,,5.76,,,,,,,,,,,,,,,,,,,,,3.21,1.60,,,,,,,,1.34,,43.43,,,22.92,,,,,,,1.55,,,,8.51,,11.95,,16.49,,100.05,,,,8.62,,,,,,,,27.34,,,13.71,,,,,5.00,,,,,,,,,,,,,,2.03,,18.54,57.54
1586301955000,,,,1.67,17.74,,,,,,,,,,,,,,,,,,,,,9.75,1.68,,,,,,,,4.86,,35.82,,,17.01,,,,,10.07,,,,,,4.26,,7.19,,8.04,,63.72,,,,,,,,,,2.27,,67.15,,,1.39,2.85,,,,18.95,,,,,,,,,,,,,,2.83,,25.20,48.33
1586368858000,,,,,3.85,,,,,,,0.39,,,,,,,,,,,,,,,2.91,,,,,,,,5.87,,16.62,,,8.30,,,,,,,,,,,16.48,,3.98,,14.63,,72.42,,,,26.94,,,,,,,,31.11,,,16.41,2.98,,29.11,,2.00,,,,,,,,,,,,,,3.13,,9.70,65.41
1586434964000,,,,2.95,6.22,,,,,,,,,,,,,,,,,,,,,,9.22,,,,,,,,,,22.23,,,9.30,,,,,,,,,,,18.89,,0.62,,6.00,,33.28,,,,,,,,,,,,20.98,,,,,,5.68,,1.29,,,,,,,,,,,,,,2.43,,7.00,46.64
1586501245000,,,,6.06,1.35,,,,,,,,,,,,,,,,,,,,,,4.83,,,0.36,,,0.29,,,,10.52,,,1.68,,,,,,,,5.19,,,,,3.11,,2.00,,31.54,,,,,,,,,,1.02,,14.35,,,,,,1.06,,,,,,,,,,,,,,,,,,6.68,8.27
1586568529000,,,,1.62,3.64,,,,,,,,,,,,,,,,,,,,,,1.86,,,1.01,,,3.13,,1.39,,12.11,,,15.14,,,,,,,,25.77,,,,,5.15,,1.01,,52.72,,,,,8.74,,,,,,,31.40,,,2.72,,,2.91,,2.00,,,,,,,,,,,,,,1.21,,3.97,73.52
1586635021000,,,,,3.05,,,,,,,,,,,,,,,,,,,,,,1.57,,,,,,0.31,,2.00,,17.39,,,4.71,,,,,,,,5.36,,,,,3.41,,7.64,,62.96,,,,,8.81,,,,,1.00,,31.58,,,5.06,,,22.09,,5.00,,,,,,,,,,,,,,0.82,,,29.80
1586701369000,,,,4.85,12.09,,,,,,,,,,,,,,,,,,,,,,0.44,,,,,,,,,,18.61,,,2.39,,,,,2.95,,,22.45,,,,,8.36,,0.75,,40.60,,,,,5.21,,,,,,,33.52,,,,,,,,2.00,,,,,,,,,,,,,,0.81,,,48.69
1586767741000,,,,8.29,3.50,,,,,,,,,,,,,,,,,,,,,1.60,9.31,,,1.01,,,,,,,5.02,,,5.37,,,,,,,,21.51,,,,,7.29,,6.01,,41.73,,,,,10.99,,,,,3.51,,22.96,,,1.83,2.83,,0.22,,3.00,,,,,,,,,,,,,,1.56,,,30.91
1586833705000,,,,,2.32,,,,,,,,,,,,,,,,,,,,,3.17,1.49,,,1.35,,,,,,,8.29,,,1.65,,,,,,,,0.24,,,,,1.86,,,,36.09,,,,,2.42,,,,,2.02,,9.73,,,,,,5.40,,1.01,,,,,,,,,1.20,,,,,0.40,,,36.02
1586900049000,,,,6.11,,,,,,,,,,,,,,,,,,,,,,,0.30,,0.10,1.95,,,,,,,13.64,,,15.89,,,,,4.90,,,2.57,,,,,4.24,,3.04,,33.77,,,,,6.93,,,,,,,25.38,,,,,,0.38,,5.77,,,,,,,,,,,,,,,,,53.76
1586966921000,,,,12.22,4.92,,,,,,,,,,,,,,,,,,,,,2.41,9.54,,,3.18,,,1.87,,,,10.25,,,2.02,,,,,,,,4.19,,,30.89,,3.47,,6.55,,46.61,,,,,8.51,,,,,,,24.79,,,,3.09,,,,,,,,,,,,,,,1.50,,,1.16,,,84.44
1587033174000,,,,,1.39,,,,,,,,,,,,,,,,,,,,,,3.07,,2.62,2.49,,,,,,,5.26,,,,,,,,,,,,,,1.31,,1.45,,,,34.80,,,,,8.62,,,,,,,13.44,,,1.84,3.05,,1.97,,1.50,,,,,,,,,,,1.92,,,1.23,,,57.96
1587099968000,,,,,5.45,,,,,,,,,,,,,,,,,,,,,4.73,4.03,,,9.54,,,0.33,,,,11.81,,,2.42,,,,,7.73,,,1.79,,,,,10.64,,1.00,,68.50,,,,,7.31,,14.17,,,,,23.14,,,,,,1.98,,,,,,,,0.26,,,,,2.47,,,1.21,,,64.94
1587167698000,,,,4.72,2.14,,,,,,,,,,,,,,,,,,,,,,20.22,,0.82,18.69,,,,,,,7.85,,,6.42,,,,,0.31,,,13.85,,,,,9.15,,5.08,,80.95,,,,,8.51,,20.81,,,,,43.57,,,3.65,,,19.33,,,,,,,,,,,,13.97,9.77,,,4.47,,,84.70
1587234387000,4.10,,,14.27,2.00,,,,,,,,,,,41.37,,,,,,,,,,,26.13,,10.08,11.42,,,19.30,,3.27,,28.00,,,8.92,,,,,4.94,,,16.58,,,,,8.74,,7.38,,189.44,,,,,20.94,,7.54,,,,,60.75,,,28.83,5.58,,24.36,,3.39,,,,,,,,,,47.38,14.23,,,2.33,,,167.76
1587300847000,,,1.06,17.89,6.32,,0.01,,,,,,,,,,,,,,,,,,,,10.57,,0.28,36.43,,,52.30,,1.02,,33.08,,,38.65,,,,,,,,83.32,,,,,18.74,,10.53,,222.25,,,,,58.68,,72.94,,,,,89.36,,,42.12,4.82,,24.55,,,0.52,,,,,,2.13,,,66.61,5.76,,,2.02,,,193.58
1587368133000,,,,12.66,26.09,,,,,,,,,,,,,,,,,,,,,,3.23,,5.83,27.55,,,10.49,,8.98,,22.40,,,18.03,,,,,1.69,,,36.43,,,,,4.94,,11.04,,142.91,,,,,17.38,,64.42,,,,,82.78,,,23.56,,,8.65,,,,,,,,,,,,34.34,,,,2.85,,,239.57
1587434258000,,,,6.01,15.47,,,,,,,11.47,,,,,,,,,,,,,,,14.23,,,20.14,,,11.33,,8.98,,30.15,,,16.93,,,,3.00,9.05,,0.60,34.57,,,,,12.62,,14.51,14.90,177.40,,,,,29.22,,13.25,,,,,56.12,,,14.58,,,7.60,,,,,,,,,,,2.80,44.32,7.50,,,1.21,,,246.15
1587501138000,,,,21.43,29.36,,3.54,,,,,2.03,,,,,,,,,,,,,,8.17,15.32,,,16.65,,,20.73,,9.05,,60.68,,,33.27,,,,9.00,7.77,,,28.44,,,,,6.49,,26.46,27.08,236.30,,,,0.81,40.28,,,,,1.01,,104.50,,,30.57,,,,,1.00,,,,,,,,,1.60,73.48,15.76,,59.87,1.22,,,261.98
1587568237000,,,,7.91,22.11,,,,,,,,,,,,,,,,,,,,,15.17,4.35,,0.06,17.50,,,29.22,,13.93,,55.38,,,31.33,,,,4.13,10.11,,,39.19,,,,,9.51,,7.37,2.50,183.37,,,,,22.78,,51.58,,,2.55,,92.89,,,15.89,,,0.29,,,,,,,,,28.00,,,103.53,26.69,,,6.27,,,180.19
1587634602000,,,,8.67,12.09,,6.80,,,,,,,,,,,,,,,,,,,,1.16,,,5.01,,,19.75,,37.15,,19.57,,,25.19,,,,5.24,13.86,,,14.08,,,,,11.10,,11.88,,301.67,,,,,23.85,,22.78,,,,,59.99,,,16.27,7.77,,37.51,,,,,,,24.03,,,,,59.85,47.70,,,5.66,,,221.50
1587701744000,,,,5.81,14.10,,26.82,,,,,,,,,,,,,,,,,,,,9.28,,0.56,12.05,76.60,,22.31,,37.98,,49.29,,,28.54,,,,,9.96,,,,,,,,17.82,,24.10,10.22,262.44,,,,,28.95,,,2.01,,,,109.61,,,29.14,4.40,,7.89,,,,,,,56.80,0.04,2.50,,2.39,129.41,31.22,,,6.40,,,303.09
